DEPTH,CALI,DPHI,GR,GR,ILD,ILM,LL8,NPHI,SP
14605,8.443,0.221,24.232,21.064,123.892,310.726,1125.76,0.066,-9.183
14605.5,8.443,0.223,26.268,23.061,133.758,335.471,1125.76,0.065,-9.561
14606,8.413,0.221,28.081,24.681,142.214,335.471,1143.146,0.064,-9.62
14606.5,8.382,0.217,27.84,25.54,153.54,274.874,1178.726,0.064,-10.057
14607,8.346,0.214,25.68,23.918,160.764,239.46,1253.2419,0.064,-10.205
14607.5,8.343,0.21,23.058,22.299,165.767,215.102,1272.5959,0.064,-10.205
14608,8.343,0.202,22.24,21.255,168.327,208.609,1234.183,0.064,-10.249
14608.5,8.345,0.193,21.344,20.455,178.969,202.312,1312.205,0.066,-10.435
14609,8.377,0.183,20.342,18.014,187.389,208.609,1438.584,0.07,-11.029
14609.5,8.374,0.179,18.773,17.251,199.235,215.102,1483.359,0.08,-11.156
14610,8.378,0.175,17.767,17.465,220.11,232.259,1577.319,0.086,-11.46
14610.5,8.342,0.175,17.01,16.744,243.158,287.806,1729.028,0.091,-11.799
14611,8.318,0.231,16.423,16.769,266.577,320.397,1729.028,0.092,-12.071
14611.5,8.31,0.256,16.332,17.173,287.806,340.652,1676.837,0.092,-12.599
14612,8.308,0.264,16.453,17.133,296.764,391.031,1626.222,0.091,-13.023
14612.5,8.309,0.263,17.013,16.129,306.001,403.202,1553.149,0.089,-13.833
14613,8.309,0.255,17,15.613,292.251,409.429,1460.8,0.087,-14.82
14613.5,8.306,0.241,16.882,15.949,274.874,403.202,1312.205,0.086,-15.81
14614,8.378,0.235,16.759,16.52,246.913,367.781,1125.76,0.085,-16.71
14614.5,8.409,0.231,16.411,17.246,205.436,315.525,908.381,0.092,-17.478
14615,8.4,0.226,16.721,17.185,193.221,235.818,678.91,0.097,-17.982
14615.5,8.364,0.222,17.58,18.047,178.969,215.102,523.199,0.101,-18.964
14616,8.341,0.225,18.389,19.359,170.927,211.83,477.237,0.103,-19.163
14616.5,8.306,0.23,19.218,22.093,165.767,215.102,499.69,0.104,-19.437
14617,8.311,0.234,19.577,20.924,160.764,225.222,515.243,0.104,-19.449
14617.5,8.317,0.238,19.843,19.896,158.319,243.158,531.279,0.101,-19.465
14618,8.344,0.244,21.131,18.827,158.319,254.598,515.243,0.1,-19.211
14618.5,8.392,0.248,21.387,17.726,146.641,243.158,477.237,0.099,-19.406
14619,8.368,0.247,21.491,16.66,125.805,178.969,435.312,0.097,-19.455
14619.5,8.38,0.231,21.04,16.728,92.595,153.54,409.429,0.095,-19.238
14620,8.375,0.231,20.553,17.206,85.765,134.823,332.999,0.093,-18.264
14620.5,8.375,0.232,19.083,16.718,94.025,118.325,283.429,0.092,-16.388
14621,8.375,0.219,17.955,16.773,101.513,111.29,239.46,0.097,-14.304
14621.5,8.375,0.213,17.262,16.738,113.008,107.93,202.312,0.103,-11.618
14622,8.378,0.213,17.234,17.659,109.597,101.513,190.283,0.113,-9.31
14622.5,8.346,0.217,17.05,19.9,96.951,96.951,199.235,0.116,-7.343
14623,8.326,0.235,16.86,22.418,73.506,80.665,243.158,0.118,-4.493
14623.5,8.291,0.24,17.085,24.112,47.968,54.896,274.874,0.115,-0.358
14624,8.278,0.229,17.353,26.681,21.593,25.369,262.522,0.112,3.296
14624.5,8.324,0.218,19.468,33.212,12.419,12.629,118.325,0.109,7.978
14625,8.626,0.201,24.017,39.378,8.35,9.883,56.703,0.107,9.629
14625.5,9.371,0.199,32.843,54.655,7.853,8.478,10.507,0.108,10.531
14626,9.943,0.302,46.475,60.404,7.386,7.386,6.841,0.236,11.179
14626.5,10.53,0.351,57.451,63.951,7.054,7.163,6.534,0.299,11.666
14627,11.017,0.448,64.355,63.496,6.635,6.841,6.534,0.299,11.914
14627.5,11.149,0.462,66.665,62.841,6.24,6.635,11.878,0.299,12.18
14628,11.019,0.424,66.519,63.047,5.869,6.337,14.496,0.299,12.212
14628.5,10.418,0.303,63.364,59.567,5.113,5.869,16.64,0.252,12.591
14629,10.325,0.3,58.171,54.954,4.454,4.959,13.223,0.187,12.557
14629.5,12.426,0.301,53.597,53.876,4.001,3.433,9.154,0.153,12.901
14630,14.446,0.395,51.22,53.955,3.594,3.084,4.664,0.148,13.236
14630.5,14.657,0.437,52.081,54.766,3.278,2.99,3.131,0.324,13.256
14631,14.49,0.439,56.018,55.978,3.131,2.9,2.9,0.367,12.903
14631.5,14.323,0.434,58.604,54.249,3.084,2.856,2.99,0.417,12.589
14632,14.272,0.411,59.757,52.873,2.99,2.856,3.229,0.435,12.097
14632.5,13.781,0.405,60.256,52.134,2.9,2.856,3.433,0.444,11.22
14633,13.504,0.397,61.211,54.765,2.856,2.856,3.763,0.458,10.911
14633.5,12.489,0.395,61.476,55.841,2.856,2.856,3.763,0.471,10.914
14634,12.132,0.391,61.387,56.664,2.813,2.856,3.486,0.473,10.908
14634.5,12.57,0.387,60.155,55.9,2.813,2.945,3.229,0.462,10.923
14635,13.198,0.385,57.405,50.957,2.813,3.037,3.037,0.458,10.814
14635.5,13.689,0.387,54.574,43.938,2.945,3.229,2.945,0.456,10.918
14636,14.013,0.414,53.051,41.618,3.18,3.433,2.945,0.453,11.098
14636.5,13.823,0.42,53.68,43.747,3.486,3.706,2.99,0.425,11.924
14637,13.824,0.417,54.405,48.176,3.88,4.454,3.18,0.398,12.466
14637.5,14.05,0.409,55.463,51.281,4.664,4.959,4.001,0.38,13.252
14638,14.341,0.291,57.102,51.114,5.606,5.78,4.883,0.298,13.727
14638.5,14.451,0.229,57.739,48.618,6.841,7.274,7.163,0.288,14.198
14639,12.247,0.136,57.348,46.207,7.5,7.853,10.507,0.266,14.441
14639.5,10.363,0.073,55.134,45.642,8.098,8.478,11.344,0.233,14.695
14640,10.216,0.047,54.432,47.453,8.742,9.014,11.344,0.215,14.849
14640.5,9.932,0.03,54.973,47.634,9.295,9.295,9.959,0.203,15.212
14641,9.965,0.028,55.211,45.153,9.439,9.295,9.883,0.202,15.238
14641.5,10.014,0.029,55.551,43.657,9.084,9.084,10.428,0.201,14.98
14642,10.056,0.034,55.581,42.813,8.544,8.544,10.918,0.196,14.739
14642.5,10.096,0.038,55.581,44.783,8.036,8.036,10.035,0.191,14.486
14643,10.137,0.04,53.274,47.249,7.793,7.675,9.44,0.189,13.975
14643.5,10.207,0.04,53.23,49.187,7.558,7.33,9.014,0.195,13.551
14644,10.33,0.041,54.352,51.978,7.386,7.163,8.877,0.197,13.438
14644.5,10.592,0.041,56.5,53.191,7.274,7.274,9.084,0.222,13.257
14645,10.662,0.039,58.129,50.69,7.274,7.386,9.154,0.231,13.212
14645.5,10.492,0.04,56.633,49.521,7.274,7.5,9.295,0.217,13.581
14646,10.427,0.043,56.067,49.082,7.617,7.616,9.511,0.208,13.6
14646.5,10.377,0.047,55.485,49.191,8.098,7.853,9.658,0.204,13.829
14647,10.363,0.051,55.292,49.469,8.414,8.286,9.367,0.203,13.991
14647.5,10.425,0.054,56.106,47.419,8.742,8.676,9.961,0.201,14.332
14648,10.469,0.056,55.048,44.936,9.154,9.014,11.173,0.197,14.642
14648.5,10.493,0.041,51.729,38.78,9.295,9.154,12.345,0.185,14.865
14649,10.507,0.023,49.498,37.283,9.084,9.295,13.74,0.169,14.788
14649.5,10.562,0.003,45.69,36.647,8.81,9.224,12.926,0.155,14.461
14650,10.612,-0.001,43.352,36.936,8.478,9.014,11.172,0.153,13.976
14650.5,10.636,-0.001,46.045,35.475,8.098,8.742,9.295,0.152,13.54
14651,10.634,0.005,48.787,46.705,7.853,7.853,8.35,0.175,12.987
14651.5,10.632,0.026,51.843,50.419,7.734,7.5,7.853,0.183,12.273
14652,10.66,0.031,54.792,52.667,7.734,7.274,7.853,0.192,11.224
14652.5,10.675,0.068,55.076,54.032,7.974,7.163,9.883,0.212,10.899
14653,10.704,0.076,54.874,53.006,8.098,7.163,10.834,0.23,10.435
14653.5,10.7,0.056,54.937,50.135,8.098,7.054,11.697,0.223,9.881
14654,10.723,0.046,54.929,47.963,7.734,7.054,12.248,0.209,9.623
14654.5,10.761,0.041,63.508,47.126,7.054,6.841,10.67,0.203,8.96
14655,10.86,0.116,59.162,47.411,6.337,6.435,9.295,0.202,8.229
14655.5,11.087,0.169,56.937,49.902,5.78,5.96,7.163,0.201,7.292
14656,12.031,0.217,56.929,52.103,5.272,5.113,5.272,0.203,6.469
14656.5,12.572,0.266,56.94,54.302,4.809,4.523,4.454,0.286,5.613
14657,13.227,0.31,58.02,54.379,4.523,4.254,4.189,0.294,4.36
14657.5,14.274,0.332,59.004,54.265,4.32,4.254,4.001,0.32,3.716
14658,14.62,0.373,58.981,50.051,4.126,4.126,3.94,0.348,2.971
14658.5,14.837,0.425,56.228,45.988,4.001,4.001,3.88,0.426,2.669
14659,15.104,0.446,54.591,45.407,3.94,4.126,3.88,0.443,1.053
14659.5,15.558,0.455,52.771,48.222,3.88,4.189,3.88,0.447,1.022
14660,15.929,0.457,55.297,51.735,3.821,4.094,3.88,0.448,-1.692
